TIMESTAMP,trap-xcor,trap-ycor
2010-01-01 12:00:06.334,-8.0,-6.0
2010-01-01 12:00:06.336,-16.0,0.0
2010-01-01 12:00:06.343,-2.0,-8.0
2010-01-01 12:00:06.350,-2.0,-8.0
2010-01-01 12:00:06.410,-9.0,12.0
2010-01-01 12:00:06.417,-2.0,-3.0
2010-01-01 12:00:06.426,-4.0,-10.0
2010-01-01 12:00:06.432,-10.0,-5.0
2010-01-01 12:00:06.441,-15.0,-5.0
2010-01-01 12:00:06.447,-15.0,-15.0
2010-01-01 12:00:06.464,-6.0,-10.0
2010-01-01 12:00:06.493,-2.0,-14.0
2010-01-01 12:00:06.508,0.0,-15.0
2010-01-01 12:00:06.535,3.0,-4.0
2010-01-01 12:00:06.547,6.0,-11.0
2010-01-01 12:00:06.569,-10.0,-7.0
2010-01-01 12:00:06.573,-13.0,-1.0
2010-01-01 12:00:06.575,-1.0,-4.0
2010-01-01 12:00:06.589,-2.0,3.0
2010-01-01 12:00:06.607,-15.0,-13.0
2010-01-01 12:00:06.616,-13.0,-2.0
2010-01-01 12:00:06.634,-13.0,15.0
2010-01-01 12:00:06.647,-14.0,-3.0
2010-01-01 12:00:06.674,-4.0,-14.0
2010-01-01 12:00:06.678,-5.0,-2.0
2010-01-01 12:00:06.683,-7.0,-11.0
2010-01-01 12:00:06.693,-11.0,0.0
2010-01-01 12:00:06.700,-1.0,-15.0
2010-01-01 12:00:06.702,-12.0,-6.0
2010-01-01 12:00:06.789,-4.0,-16.0
2010-01-01 12:00:06.836,0.0,-16.0
2010-01-01 12:00:06.849,6.0,-4.0
2010-01-01 12:00:06.854,0.0,-11.0
2010-01-01 12:00:06.877,-14.0,-2.0
2010-01-01 12:00:06.884,-7.0,-9.0
2010-01-01 12:00:06.885,-9.0,7.0
2010-01-01 12:00:06.894,-11.0,6.0
2010-01-01 12:00:06.944,-14.0,2.0
2010-01-01 12:00:06.992,-2.0,-12.0
2010-01-01 12:00:07.042,-1.0,-14.0
2010-01-01 12:00:07.047,7.0,-9.0
2010-01-01 12:00:07.061,-6.0,-8.0
2010-01-01 12:00:07.066,-4.0,-6.0
2010-01-01 12:00:07.070,-10.0,-9.0
2010-01-01 12:00:07.077,2.0,-9.0
2010-01-01 12:00:07.088,-8.0,13.0
2010-01-01 12:00:07.092,-12.0,-4.0
2010-01-01 12:00:07.115,-5.0,-5.0
2010-01-01 12:00:07.141,-16.0,-4.0
2010-01-01 12:00:07.165,-3.0,-5.0
2010-01-01 12:00:07.171,0.0,-4.0
2010-01-01 12:00:07.213,-6.0,0.0
2010-01-01 12:00:07.216,-9.0,1.0
2010-01-01 12:00:07.243,-10.0,-1.0
2010-01-01 12:00:07.269,-4.0,-5.0
2010-01-01 12:00:07.290,-4.0,4.0
2010-01-01 12:00:07.305,-16.0,-9.0
2010-01-01 12:00:07.318,-14.0,-9.0
2010-01-01 12:00:07.323,-14.0,-9.0
2010-01-01 12:00:07.337,-7.0,-10.0
2010-01-01 12:00:07.350,9.0,-14.0
2010-01-01 12:00:07.363,5.0,0.0
2010-01-01 12:00:07.366,-10.0,-13.0
2010-01-01 12:00:07.400,3.0,-8.0
2010-01-01 12:00:07.408,-12.0,-7.0
2010-01-01 12:00:07.409,4.0,-5.0
2010-01-01 12:00:07.421,2.0,-7.0
2010-01-01 12:00:07.427,3.0,-12.0
2010-01-01 12:00:07.437,-8.0,-7.0
2010-01-01 12:00:07.467,5.0,-5.0
2010-01-01 12:00:07.469,-15.0,-7.0
2010-01-01 12:00:07.482,-2.0,2.0
2010-01-01 12:00:07.505,-13.0,-3.0
2010-01-01 12:00:07.512,-11.0,-12.0
2010-01-01 12:00:07.530,-5.0,1.0
2010-01-01 12:00:07.540,-12.0,-9.0
2010-01-01 12:00:07.542,-2.0,-13.0
2010-01-01 12:00:07.583,-12.0,-2.0
2010-01-01 12:00:07.584,3.0,-3.0
2010-01-01 12:00:07.626,-13.0,-9.0
2010-01-01 12:00:07.634,8.0,-10.0
2010-01-01 12:00:07.635,-14.0,-12.0
2010-01-01 12:00:07.639,0.0,-9.0
2010-01-01 12:00:07.661,-11.0,3.0
2010-01-01 12:00:07.666,0.0,-2.0
2010-01-01 12:00:07.670,-10.0,10.0
2010-01-01 12:00:07.675,-9.0,3.0
2010-01-01 12:00:07.677,-5.0,0.0
2010-01-01 12:00:07.688,-1.0,-6.0
2010-01-01 12:00:07.694,-16.0,-8.0
2010-01-01 12:00:07.698,-3.0,-8.0
2010-01-01 12:00:07.700,-13.0,0.0
2010-01-01 12:00:07.704,2.0,-4.0
2010-01-01 12:00:07.738,-8.0,3.0
2010-01-01 12:00:07.744,-5.0,-9.0
2010-01-01 12:00:07.780,-11.0,-2.0
2010-01-01 12:00:07.786,-10.0,-16.0
2010-01-01 12:00:07.812,4.0,-10.0
2010-01-01 12:00:07.814,-16.0,15.0
2010-01-01 12:00:07.818,-2.0,-4.0
2010-01-01 12:00:07.823,-12.0,-15.0
2010-01-01 12:00:07.838,-1.0,-13.0
2010-01-01 12:00:07.840,-4.0,1.0
2010-01-01 12:00:07.863,-6.0,-13.0
2010-01-01 12:00:07.871,-7.0,-6.0
2010-01-01 12:00:07.920,-15.0,-3.0
2010-01-01 12:00:07.927,2.0,-6.0
2010-01-01 12:00:07.960,3.0,-9.0
2010-01-01 12:00:08.000,-9.0,9.0
2010-01-01 12:00:08.016,0.0,-1.0
2010-01-01 12:00:08.023,-10.0,-8.0
2010-01-01 12:00:08.042,-10.0,-8.0
